DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-08,4.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-09,4.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-10,5.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-11,5.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-12,5.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-01,5.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-02,6.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-03,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-04,5.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-05,5.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-06,4.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-07,5.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-08,5.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-09,4.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-10,4.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-11,4.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2007-12,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-01,5.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-02,5.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-03,5.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-04,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-05,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-06,3.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-07,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-08,4.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-09,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-10,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-11,4.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2008-12,4.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-01,5.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-02,5.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-03,6.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-04,5.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-05,5.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-06,5.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-07,6.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2009-08,5.4,
